,genre_list
['Shooter'],2226
['Sport'],2185
['Adventure'],1901
['Indie'],1673
"['Adventure', 'Indie']",1457
['Role-playing (RPG)'],1292
['Platform'],1088
['Puzzle'],1078
['Simulator'],1038
['Racing'],1020
"['Role-playing (RPG)', 'Adventure']",918
['Strategy'],833
['Fighting'],791
"['Role-playing (RPG)', 'Adventure', 'Indie']",651
"['Shooter', 'Arcade']",623
"['Platform', 'Adventure']",610
"['Strategy', 'Indie']",530
"['Simulator', 'Strategy']",508
['Arcade'],492
"['Simulator', 'Sport']",455
"['Simulator', 'Indie']",414
"['Puzzle', 'Adventure']",402
"['Shooter', 'Adventure']",381
"['Simulator', 'Strategy', 'Indie']",328
['Music'],328
"['Real Time Strategy (RTS)', 'Strategy']",327
"['Racing', 'Sport']",279
"['Role-playing (RPG)', 'Indie']",277
"['Shooter', 'Indie']",270
"['Point-and-click', 'Adventure']",262
"['Platform', 'Adventure', 'Indie']",254
"['Puzzle', 'Adventure', 'Indie']",252
"['Simulator', 'Adventure', 'Indie']",251
"['Puzzle', 'Strategy']",230
"['Fighting', 'Sport']",213
"['Puzzle', 'Indie']",200
"[""Hack and slash/Beat 'em up""]",199
"['Role-playing (RPG)', 'Strategy']",193
"['Shooter', 'Simulator']",188
"['Simulator', 'Adventure']",187
"['Point-and-click', 'Puzzle', 'Adventure']",184
"['Shooter', 'Platform']",179
"['Racing', 'Simulator', 'Sport']",179
"['Platform', 'Puzzle', 'Adventure', 'Indie']",178
"[""Hack and slash/Beat 'em up"", 'Adventure']",178
"['Platform', 'Puzzle']",175
"['Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",173
"['Adventure', 'Visual Novel']",164
"['Strategy', 'Turn-based strategy (TBS)']",162
"['Racing', 'Simulator']",160
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy']",158
"['Racing', 'Arcade']",147
"['Shooter', 'Indie', 'Arcade']",145
"['Strategy', 'Adventure', 'Indie']",135
"['Platform', 'Arcade']",135
"['Platform', 'Indie']",129
"['Role-playing (RPG)', 'Strategy', 'Indie']",129
"['Fighting', 'Arcade']",125
"['Fighting', ""Hack and slash/Beat 'em up""]",125
"['Sport', 'Indie']",124
"['Platform', 'Puzzle', 'Adventure']",122
"['Puzzle', 'Arcade']",121
"['Shooter', 'Platform', 'Adventure']",119
"['Role-playing (RPG)', 'Strategy', 'Adventure']",112
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",108
"['Shooter', 'Role-playing (RPG)']",108
"['Racing', 'Indie']",107
"['Shooter', 'Adventure', 'Indie']",107
"['Strategy', 'Adventure']",105
"['Indie', 'Arcade']",104
"['Point-and-click', 'Adventure', 'Indie']",104
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",93
"['Real Time Strategy (RTS)', 'Strategy', 'Indie']",92
"['Adventure', 'Indie', 'Visual Novel']",90
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",89
"['Shooter', 'Racing']",87
"['Simulator', 'Strategy', 'Adventure', 'Indie']",86
"['Puzzle', 'Strategy', 'Indie']",83
